Gene	CNA	Freq	chromosome	start	end	strand	Cancer_type
ABCB8	AMP	7.3	7	151028422.00	151047782.00	77	Serous_Ovarian_Cancer
ABCC10	AMP	7.7	6	43427366.00	43450427.00	77	Esophageal_Adenocarcinoma
ABCC10	AMP	6.4	6	43427366.00	43450427.00	77	Stomach_Adenocarcinoma
ABCC3	AMP	7.3	17	50634777.00	50692253.00	77	Breast_Invasive_Ductal_Carcinoma
ABCC5	AMP	14	3	183919934.00	184017939.00	3	Cervical_Squamous_Cell_Carcinoma
ABCC5	AMP	15.4	3	183919934.00	184017939.00	3	Esophageal_Adenocarcinoma
ABCC5	AMP	18.2	3	183919934.00	184017939.00	3	Serous_Ovarian_Cancer
ABCC5	AMP	6.3	3	183919934.00	184017939.00	3	Uterine_Corpus_Endometrial_Carcinoma
ABCC5-AS1	AMP	14	3	184006338.00	184011419.00	77	Cervical_Squamous_Cell_Carcinoma
ABCC5-AS1	AMP	15.4	3	184006338.00	184011419.00	77	Esophageal_Adenocarcinoma
ABCC5-AS1	AMP	18.2	3	184006338.00	184011419.00	77	Serous_Ovarian_Cancer
ABCC5-AS1	AMP	6.3	3	184006338.00	184011419.00	77	Uterine_Corpus_Endometrial_Carcinoma
ABCC9	AMP	6.1	12	21797389.00	21942543.00	3	Serous_Ovarian_Cancer
ABCC9	AMP	8.1	12	21797389.00	21942543.00	3	Testicular_Germ_Cell_Tumors
ABCD1	AMP	6.3	24	153724856.00	153744755.00	77	Diffuse_Large B-Cell_Lymphoma
ABCF2	AMP	7.5	7	151211484.00	151227205.00	3	Serous_Ovarian_Cancer
ABCF3	AMP	13.7	3	184186095.00	184194012.00	77	Cervical_Squamous_Cell_Carcinoma
ABCF3	AMP	14.8	3	184186095.00	184194012.00	77	Esophageal_Adenocarcinoma
ABCF3	AMP	18.2	3	184186095.00	184194012.00	77	Serous_Ovarian_Cancer
ABCF3	AMP	6.1	3	184186095.00	184194012.00	77	Uterine_Corpus_Endometrial_Carcinoma
ABHD16A	HOMDEL	6.3	6	31686955.00	31703356.00	3	Diffuse_Large B-Cell_Lymphoma
ABHD16B	AMP	7.3	20	63861498.00	63862988.00	77	Colorectal_Adenocarcinoma
ABHD16B	AMP	7.3	20	63861498.00	63862988.00	77	Serous_Ovarian_Cancer
ABHD3	AMP	8.8	18	21650901.00	21704780.00	3	Esophageal_Adenocarcinoma
ABHD8	AMP	7.9	19	17292131.00	17310236.00	3	Serous_Ovarian_Cancer
ABI3	AMP	6.9	17	49210411.00	49223225.00	77	Breast_Invasive_Ductal_Carcinoma
ABL2	AMP	11.1	1	179099330.00	179229684.00	3	Cholangiocarcinoma
ABL2	AMP	8.2	1	179099330.00	179229684.00	3	Liver_Hepatocellular_Carcinoma
ABRA	AMP	7.1	8	106759483.00	106770244.00	3	Esophageal_Adenocarcinoma
ABRA	AMP	9.3	8	106759483.00	106770244.00	3	Liver_Hepatocellular_Carcinoma
ABRA	AMP	15.2	8	106759483.00	106770244.00	3	Serous_Ovarian_Cancer
ABRACL	HOMDEL	6.3	6	139028745.00	139043302.00	77	Diffuse_Large B-Cell_Lymphoma
ABRACL	HOMDEL	7.5	6	139028745.00	139043302.00	77	Uveal Melanoma
ABTB1	AMP	6.1	3	127672935.00	127680926.00	77	Cervical_Squamous_Cell_Carcinoma
ACACA	AMP	8.3	17	37084992.00	37406836.00	3	Cholangiocarcinoma
ACAD8	HOMDEL	9.4	11	134253548.00	134265855.00	77	Testicular_Germ_Cell_Tumors
ACAD9	AMP	6.1	3	128879596.00	128924003.00	77	Cervical_Squamous_Cell_Carcinoma
ACAP2	AMP	14.3	3	195274745.00	195443044.00	3	Cervical_Squamous_Cell_Carcinoma
ACAP2	AMP	18.7	3	195274745.00	195443044.00	3	Esophageal_Adenocarcinoma
ACAP2	AMP	16.4	3	195274745.00	195443044.00	3	Serous_Ovarian_Cancer
ACAP2	AMP	6.9	3	195274745.00	195443044.00	3	Uterine_Corpus_Endometrial_Carcinoma
ACAP3	HOMDEL	8.3	1	1292390.00	1309609.00	3	Diffuse_Large B-Cell_Lymphoma
ACAP3	HOMDEL	7.5	1	1292390.00	1309609.00	3	Uveal Melanoma
ACAT2	HOMDEL	6.3	6	159762045.00	159779112.00	77	Uveal Melanoma
ACBD3	AMP	8.3	1	226144679.00	226186741.00	3	Breast_Invasive_Ductal_Carcinoma
ACBD6	AMP	6.1	1	180269653.00	180502954.00	3	Breast_Invasive_Ductal_Carcinoma
ACBD6	AMP	8.3	1	180269653.00	180502954.00	3	Cholangiocarcinoma
ACBD6	AMP	7.6	1	180269653.00	180502954.00	3	Liver_Hepatocellular_Carcinoma
ACE	AMP	7.5	17	63477061.00	63498380.00	77	Breast_Invasive_Ductal_Carcinoma
ACER3	AMP	8.2	11	76860859.00	77026797.00	77	Serous_Ovarian_Cancer
ACHE	AMP	8.8	7	100889994.00	100896974.00	3	Esophageal_Adenocarcinoma
ACKR1	AMP	7.4	1	159203307.00	159206500.00	77	Bladder_Urothelial_Carcinoma
ACKR1	AMP	8.3	1	159203307.00	159206500.00	77	Breast_Invasive_Ductal_Carcinoma
ACKR1	AMP	13.9	1	159203307.00	159206500.00	77	Cholangiocarcinoma
ACKR1	AMP	9.8	1	159203307.00	159206500.00	77	Liver_Hepatocellular_Carcinoma
ACLY	AMP	7.1	17	41866917.00	41930542.00	3	Esophageal_Adenocarcinoma
ACOT8	AMP	7.6	20	45841721.00	45857405.00	3	Colorectal_Adenocarcinoma
ACP5	AMP	7.7	19	11574653.00	11579993.00	3	Serous_Ovarian_Cancer
ACP6	AMP	9.1	1	147629652.00	147670524.00	3	Bladder_Urothelial_Carcinoma
ACP6	AMP	10.1	1	147629652.00	147670524.00	3	Breast_Invasive_Ductal_Carcinoma
ACP6	AMP	8.3	1	147629652.00	147670524.00	3	Cholangiocarcinoma
ACP6	AMP	9.8	1	147629652.00	147670524.00	3	Liver_Hepatocellular_Carcinoma
ACP7	AMP	9.1	19	39083913.00	39111493.00	77	Serous_Ovarian_Cancer
ACR	HOMDEL	11.2	22	50738196.00	50745339.00	77	Serous_Ovarian_Cancer
ACRBP	AMP	6	12	6638075.00	6647433.00	3	Testicular_Germ_Cell_Tumors
ACRV1	HOMDEL	8.7	11	125671522.00	125680874.00	3	Testicular_Germ_Cell_Tumors
ACSF2	AMP	6.9	17	50426158.00	50474845.00	77	Breast_Invasive_Ductal_Carcinoma
ACSL1	HOMDEL	8.3	4	184755595.00	184826818.00	3	Diffuse_Large B-Cell_Lymphoma
ACSM4	AMP	6	12	7304072.00	7328719.00	77	Testicular_Germ_Cell_Tumors
ACSS2	AMP	7.9	20	34872146.00	34927962.00	77	Colorectal_Adenocarcinoma
ACSS3	AMP	6.3	12	80936414.00	81261210.00	77	Sarcoma
ACTA1	AMP	8.7	1	229430365.00	229434104.00	3	Breast_Invasive_Ductal_Carcinoma
ACTA1	AMP	6.5	1	229430365.00	229434104.00	3	Liver_Hepatocellular_Carcinoma
ACTA2	HOMDEL	6.3	10	88935074.00	88991339.00	3	Diffuse_Large B-Cell_Lymphoma
ACTA2	HOMDEL	6.1	10	88935074.00	88991339.00	3	Prostate_Adenocarcinoma
ACTE1P	AMP	20.9	11	71382601.00	71423423.00	3	Esophageal_Adenocarcinoma
ACTE1P	AMP	14.1	11	71382601.00	71423423.00	3	Head_and_Neck_Squamous
ACTG1P25	AMP	6.9	1	202861754.00	202875241.00	77	Breast_Invasive_Ductal_Carcinoma
ACTG1P25	AMP	6.3	1	202861754.00	202875241.00	77	Liver_Hepatocellular_Carcinoma
ACTL10	AMP	8.1	20	33666943.00	33668525.00	77	Colorectal_Adenocarcinoma
ACTL6A	AMP	14.7	3	179562886.00	179588407.00	77	Cervical_Squamous_Cell_Carcinoma
ACTL6A	AMP	17.6	3	179562886.00	179588407.00	77	Esophageal_Adenocarcinoma
ACTL6A	AMP	19.9	3	179562886.00	179588407.00	77	Serous_Ovarian_Cancer
ACTL6A	AMP	6.3	3	179562886.00	179588407.00	77	Uterine_Corpus_Endometrial_Carcinoma
ACTL6B	AMP	8.8	7	100643097.00	100656448.00	3	Esophageal_Adenocarcinoma
ACTN2	AMP	9.6	1	236664141.00	236764631.00	77	Breast_Invasive_Ductal_Carcinoma
ACTN2	AMP	6.5	1	236664141.00	236764631.00	77	Liver_Hepatocellular_Carcinoma
ACTN4	AMP	9.1	19	38647649.00	38731589.00	77	Serous_Ovarian_Cancer
ACTR2	AMP	6.3	2	65227788.00	65271253.00	77	Diffuse_Large B-Cell_Lymphoma
ACTR3B	AMP	7.5	7	152759749.00	152855378.00	77	Serous_Ovarian_Cancer
ACTR3C	AMP	7	7	150243916.00	150323725.00	3	Serous_Ovarian_Cancer
ACTR5	AMP	7.1	20	38748460.00	38772520.00	77	Colorectal_Adenocarcinoma
ACTRT2	HOMDEL	8.3	1	3021467.00	3022903.00	77	Diffuse_Large B-Cell_Lymphoma
ACTRT2	HOMDEL	7.5	1	3021467.00	3022903.00	77	Uveal Melanoma
ACTRT3	AMP	15.4	3	169766921.00	169769561.00	3	Cervical_Squamous_Cell_Carcinoma
ACTRT3	AMP	20.9	3	169766921.00	169769561.00	3	Esophageal_Adenocarcinoma
ACTRT3	AMP	26.7	3	169766921.00	169769561.00	3	Serous_Ovarian_Cancer
ACTRT3	AMP	6.4	3	169766921.00	169769561.00	3	Stomach_Adenocarcinoma
ACTRT3	AMP	7.6	3	169766921.00	169769561.00	3	Uterine_Corpus_Endometrial_Carcinoma
ACY3	AMP	6.2	11	67642555.00	67650730.00	3	Breast_Invasive_Ductal_Carcinoma
ACY3	AMP	10.4	11	67642555.00	67650730.00	3	Esophageal_Adenocarcinoma
ADA	AMP	8.3	20	44584896.00	44652252.00	3	Colorectal_Adenocarcinoma
ADAM15	AMP	13.9	1	155050566.00	155062775.00	77	Cholangiocarcinoma
ADAM15	AMP	12.3	1	155050566.00	155062775.00	77	Liver_Hepatocellular_Carcinoma
ADAM15	AMP	9.6	1	155050566.00	155062775.00	77	Lung
ADAM18	AMP	7.6	8	39584489.00	39730065.00	77	Bladder_Urothelial_Carcinoma
ADAM18	AMP	9.4	8	39584489.00	39730065.00	77	Breast_Invasive_Ductal_Carcinoma
ADAM19	AMP	6.1	5	157395534.00	157575775.00	3	Renal_Clear_Cell_Carcinoma
ADAM2	AMP	7.4	8	39743735.00	39838227.00	3	Bladder_Urothelial_Carcinoma
ADAM2	AMP	9.6	8	39743735.00	39838227.00	3	Breast_Invasive_Ductal_Carcinoma
ADAM22	AMP	6.6	7	87934143.00	88202889.00	77	Esophageal_Adenocarcinoma
ADAM28	HOMDEL	6.3	8	24294069.00	24359014.00	77	Liver_Hepatocellular_Carcinoma
ADAM28	HOMDEL	7.8	8	24294069.00	24359014.00	77	Prostate_Adenocarcinoma
ADAM32	AMP	8.1	8	39106990.00	39284917.00	77	Bladder_Urothelial_Carcinoma
ADAM32	AMP	9.8	8	39106990.00	39284917.00	77	Breast_Invasive_Ductal_Carcinoma
ADAM3A	AMP	7.8	8	39451045.00	39522852.00	3	Bladder_Urothelial_Carcinoma
ADAM3A	AMP	9.2	8	39451045.00	39522852.00	3	Breast_Invasive_Ductal_Carcinoma
ADAM5	AMP	8.1	8	39314591.00	39417378.00	77	Bladder_Urothelial_Carcinoma
ADAM5	AMP	9.5	8	39314591.00	39417378.00	77	Breast_Invasive_Ductal_Carcinoma
ADAM7	HOMDEL	6.3	8	24440930.00	24526970.00	77	Liver_Hepatocellular_Carcinoma
ADAM7	HOMDEL	7.8	8	24440930.00	24526970.00	77	Prostate_Adenocarcinoma
ADAM9	AMP	7.6	8	38996754.00	39105445.00	77	Bladder_Urothelial_Carcinoma
ADAM9	AMP	10.1	8	38996754.00	39105445.00	77	Breast_Invasive_Ductal_Carcinoma
ADAMDEC1	HOMDEL	6.3	8	24384285.00	24406013.00	77	Liver_Hepatocellular_Carcinoma
ADAMDEC1	HOMDEL	7.8	8	24384285.00	24406013.00	77	Prostate_Adenocarcinoma
ADAMTS12	AMP	8.2	5	33523535.00	33892019.00	3	Esophageal_Adenocarcinoma
ADAMTS12	AMP	8	5	33523535.00	33892019.00	3	Lung
ADAMTS15	HOMDEL	8.7	11	130448645.00	130476645.00	77	Testicular_Germ_Cell_Tumors
ADAMTS16	AMP	7.8	5	5140330.00	5320304.00	77	Bladder_Urothelial_Carcinoma
ADAMTS16	AMP	9.3	5	5140330.00	5320304.00	77	Esophageal_Adenocarcinoma
ADAMTS16	AMP	10.6	5	5140330.00	5320304.00	77	Lung
ADAMTS16-DT	AMP	7.6	5	5132084.00	5140153.00	3	Bladder_Urothelial_Carcinoma
ADAMTS16-DT	AMP	9.3	5	5132084.00	5140153.00	3	Esophageal_Adenocarcinoma
ADAMTS16-DT	AMP	10.4	5	5132084.00	5140153.00	3	Lung
ADAMTS17	AMP	6.7	15	99971437.00	100342005.00	3	Sarcoma
ADAMTS2	AMP	7.3	5	179110853.00	179345461.00	3	Renal_Clear_Cell_Carcinoma
ADAMTS4	AMP	16.2	1	161184302.00	161199054.00	3	Bladder_Urothelial_Carcinoma
ADAMTS4	AMP	9.5	1	161184302.00	161199054.00	3	Breast_Invasive_Ductal_Carcinoma
ADAMTS4	AMP	13.9	1	161184302.00	161199054.00	3	Cholangiocarcinoma
ADAMTS4	AMP	11.2	1	161184302.00	161199054.00	3	Liver_Hepatocellular_Carcinoma
ADAMTS8	HOMDEL	8.7	11	130404923.00	130428609.00	3	Testicular_Germ_Cell_Tumors
ADAMTSL4	AMP	10.3	1	150549369.00	150560937.00	77	Bladder_Urothelial_Carcinoma
ADAMTSL4	AMP	10.9	1	150549369.00	150560937.00	77	Breast_Invasive_Ductal_Carcinoma
ADAMTSL4	AMP	8.3	1	150549369.00	150560937.00	77	Cholangiocarcinoma
ADAMTSL4	AMP	11.2	1	150549369.00	150560937.00	77	Liver_Hepatocellular_Carcinoma
ADAMTSL4	AMP	6.7	1	150549369.00	150560937.00	77	Uterine_Corpus_Endometrial_Carcinoma
ADAMTSL4-AS1	AMP	10.5	1	150560202.00	150562115.00	3	Bladder_Urothelial_Carcinoma
ADAMTSL4-AS1	AMP	10.9	1	150560202.00	150562115.00	3	Breast_Invasive_Ductal_Carcinoma
ADAMTSL4-AS1	AMP	8.3	1	150560202.00	150562115.00	3	Cholangiocarcinoma
ADAMTSL4-AS1	AMP	11.4	1	150560202.00	150562115.00	3	Liver_Hepatocellular_Carcinoma
ADAMTSL4-AS1	AMP	6.7	1	150560202.00	150562115.00	3	Uterine_Corpus_Endometrial_Carcinoma
ADAP1	AMP	6	7	897900.00	955407.00	3	Esophageal_Adenocarcinoma
ADAR	AMP	13.9	1	154581695.00	154628013.00	3	Cholangiocarcinoma
ADAR	AMP	10.6	1	154581695.00	154628013.00	3	Liver_Hepatocellular_Carcinoma
ADAR	AMP	9.8	1	154581695.00	154628013.00	3	Lung
ADARB2	HOMDEL	6.3	10	1177313.00	1737525.00	3	Diffuse_Large B-Cell_Lymphoma
ADARB2	AMP	6.1	10	1177313.00	1737525.00	3	Serous_Ovarian_Cancer
ADAT2	HOMDEL	6.3	6	143422832.00	143450695.00	3	Diffuse_Large B-Cell_Lymphoma
ADAT2	HOMDEL	7.5	6	143422832.00	143450695.00	3	Uveal Melanoma
ADCK2	AMP	7.5	7	140672945.00	140696261.00	77	Serous_Ovarian_Cancer
ADCK5	AMP	9.9	8	144373101.00	144393242.00	77	Esophageal_Adenocarcinoma
ADCK5	AMP	9.8	8	144373101.00	144393242.00	77	Liver_Hepatocellular_Carcinoma
ADCK5	AMP	26.7	8	144373101.00	144393242.00	77	Serous_Ovarian_Cancer
ADCY10	AMP	8.8	1	167809386.00	167914215.00	3	Bladder_Urothelial_Carcinoma
ADCY10	AMP	7.4	1	167809386.00	167914215.00	3	Breast_Invasive_Ductal_Carcinoma
ADCY10	AMP	13.9	1	167809386.00	167914215.00	3	Cholangiocarcinoma
ADCY10	AMP	9.5	1	167809386.00	167914215.00	3	Liver_Hepatocellular_Carcinoma
ADCY2	AMP	9.1	5	7396138.00	7830081.00	77	Bladder_Urothelial_Carcinoma
ADCY2	AMP	9.9	5	7396138.00	7830081.00	77	Esophageal_Adenocarcinoma
ADCY2	AMP	10.6	5	7396138.00	7830081.00	77	Lung
ADCY8	AMP	13.7	8	130780301.00	131040909.00	3	Esophageal_Adenocarcinoma
ADCY8	AMP	10.9	8	130780301.00	131040909.00	3	Liver_Hepatocellular_Carcinoma
ADCY8	AMP	30.8	8	130780301.00	131040909.00	3	Serous_Ovarian_Cancer
ADGB	HOMDEL	6.3	6	146598967.00	146815462.00	77	Diffuse_Large B-Cell_Lymphoma
ADGB	HOMDEL	7.5	6	146598967.00	146815462.00	77	Uveal Melanoma
ADGRA2	AMP	10	8	37784191.00	37844896.00	77	Bladder_Urothelial_Carcinoma
ADGRA2	AMP	12.1	8	37784191.00	37844896.00	77	Breast_Invasive_Ductal_Carcinoma
ADGRB1	AMP	9.3	8	142449430.00	142545009.00	77	Esophageal_Adenocarcinoma
ADGRB1	AMP	9.5	8	142449430.00	142545009.00	77	Liver_Hepatocellular_Carcinoma
ADGRB1	AMP	26.2	8	142449430.00	142545009.00	77	Serous_Ovarian_Cancer
ADGRE2	AMP	11.4	19	14732392.00	14778560.00	3	Serous_Ovarian_Cancer
ADGRE3	AMP	11.4	19	14619117.00	14690027.00	3	Serous_Ovarian_Cancer
ADGRE5	AMP	11.2	19	14380501.00	14408725.00	77	Serous_Ovarian_Cancer
ADGRG6	HOMDEL	6.3	6	142301854.00	142446266.00	77	Diffuse_Large B-Cell_Lymphoma
ADGRG6	HOMDEL	7.5	6	142301854.00	142446266.00	77	Uveal Melanoma
ADGRL1	AMP	11.5	19	14147743.00	14206187.00	3	Serous_Ovarian_Cancer
ADGRL1-AS1	AMP	11	19	14137146.00	14171267.00	77	Serous_Ovarian_Cancer
ADHFE1	AMP	6.9	8	66432492.00	66468907.00	77	Breast_Invasive_Ductal_Carcinoma
ADHFE1	AMP	6.3	8	66432492.00	66468907.00	77	Liver_Hepatocellular_Carcinoma
ADIG	AMP	7.3	20	38581195.00	38588463.00	77	Colorectal_Adenocarcinoma
ADIPOQ	AMP	13.7	3	186842704.00	186858463.00	77	Cervical_Squamous_Cell_Carcinoma
ADIPOQ	AMP	15.4	3	186842704.00	186858463.00	77	Esophageal_Adenocarcinoma
ADIPOQ	AMP	16.4	3	186842704.00	186858463.00	77	Serous_Ovarian_Cancer
ADIPOQ-AS1	AMP	13.7	3	186851886.00	186856123.00	3	Cervical_Squamous_Cell_Carcinoma
ADIPOQ-AS1	AMP	15.4	3	186851886.00	186856123.00	3	Esophageal_Adenocarcinoma
ADIPOQ-AS1	AMP	16.3	3	186851886.00	186856123.00	3	Serous_Ovarian_Cancer
ADIPOR1	AMP	6.9	1	202940826.00	202958572.00	3	Breast_Invasive_Ductal_Carcinoma
ADIPOR1	AMP	6.3	1	202940826.00	202958572.00	3	Liver_Hepatocellular_Carcinoma
ADIPOR2	AMP	7.3	12	1688574.00	1788674.00	77	Serous_Ovarian_Cancer
ADM2	HOMDEL	11.2	22	50481543.00	50486440.00	77	Serous_Ovarian_Cancer
ADNP	AMP	6.4	20	50888916.00	50931437.00	3	Colorectal_Adenocarcinoma
ADNP-AS1	AMP	6.1	20	50930984.00	50945148.00	77	Colorectal_Adenocarcinoma
ADORA1	AMP	7	1	203090654.00	203167405.00	77	Breast_Invasive_Ductal_Carcinoma
ADORA1	AMP	6.3	1	203090654.00	203167405.00	77	Liver_Hepatocellular_Carcinoma
ADORA2B	AMP	9.1	17	15945130.00	15975746.00	77	Sarcoma
ADPRS	AMP	6.5	1	36088892.00	36093932.00	77	Serous_Ovarian_Cancer
ADRA1A	HOMDEL	6	8	26748150.00	26867278.00	3	Liver_Hepatocellular_Carcinoma
ADRA1A	HOMDEL	7	8	26748150.00	26867278.00	3	Serous_Ovarian_Cancer
ADRA1B	AMP	6.1	5	159865080.00	159973012.00	77	Renal_Clear_Cell_Carcinoma
ADRB3	AMP	8.6	8	37962990.00	37966599.00	3	Bladder_Urothelial_Carcinoma
ADRB3	AMP	11.7	8	37962990.00	37966599.00	3	Breast_Invasive_Ductal_Carcinoma
ADRB3	AMP	6	8	37962990.00	37966599.00	3	Esophageal_Adenocarcinoma
ADRM1	AMP	7.1	20	62302093.00	62308862.00	77	Colorectal_Adenocarcinoma
ADRM1	AMP	7.3	20	62302093.00	62308862.00	77	Serous_Ovarian_Cancer
ADSS2	AMP	9.2	1	244408494.00	244451909.00	3	Breast_Invasive_Ductal_Carcinoma
ADSS2	HOMDEL	6.3	1	244408494.00	244451909.00	3	Diffuse_Large B-Cell_Lymphoma
ADSS2	AMP	6.5	1	244408494.00	244451909.00	3	Liver_Hepatocellular_Carcinoma
ADTRP	AMP	7	6	11712054.00	11807046.00	3	Serous_Ovarian_Cancer
AEBP2	AMP	8.1	12	19404045.00	19720801.00	77	Testicular_Germ_Cell_Tumors
AFDN	HOMDEL	6.3	6	167826893.00	167972023.00	77	Uveal Melanoma
AFDN-DT	HOMDEL	6.3	6	167822103.00	167826833.00	3	Uveal Melanoma
AFG1L	HOMDEL	10.4	6	108294991.00	108526796.00	77	Diffuse_Large B-Cell_Lymphoma
AFG1L	HOMDEL	8.4	6	108294991.00	108526796.00	77	Prostate_Adenocarcinoma
AFG1L	HOMDEL	6.3	6	108294991.00	108526796.00	77	Uveal Melanoma
AFTPH	AMP	6.3	2	64524299.00	64593005.00	77	Diffuse_Large B-Cell_Lymphoma
AGAP2	AMP	6.7	12	57723761.00	57742157.00	3	Adrenocortical_Carcinoma
AGAP2	AMP	14.3	12	57723761.00	57742157.00	3	Glioblastoma_Multiforme
AGAP2	AMP	17.4	12	57723761.00	57742157.00	3	Sarcoma
AGAP2-AS1	AMP	6.7	12	57726271.00	57728356.00	77	Adrenocortical_Carcinoma
AGAP2-AS1	AMP	13.6	12	57726271.00	57728356.00	77	Glioblastoma_Multiforme
AGAP2-AS1	AMP	15.8	12	57726271.00	57728356.00	77	Sarcoma
AGAP3	AMP	7.3	7	151085831.00	151144436.00	77	Serous_Ovarian_Cancer
AGBL3	AMP	6.5	7	134986508.00	135147963.00	77	Serous_Ovarian_Cancer
AGBL4	HOMDEL	7.9	1	48532854.00	50023954.00	3	Colorectal_Adenocarcinoma
AGER	HOMDEL	6.3	6	32180968.00	32184322.00	3	Diffuse_Large B-Cell_Lymphoma
AGFG2	AMP	8.8	7	100539203.00	100568220.00	77	Esophageal_Adenocarcinoma
AGK	AMP	6.8	7	141551278.00	141655244.00	77	Serous_Ovarian_Cancer
AGO1	AMP	6.1	1	35869808.00	35930532.00	77	Serous_Ovarian_Cancer
AGO2	AMP	11.5	8	140520156.00	140635633.00	3	Esophageal_Adenocarcinoma
AGO2	AMP	9.8	8	140520156.00	140635633.00	3	Liver_Hepatocellular_Carcinoma
AGO2	AMP	27.8	8	140520156.00	140635633.00	3	Serous_Ovarian_Cancer
AGO2	AMP	6.6	8	140520156.00	140635633.00	3	Stomach_Adenocarcinoma
AGO3	AMP	6.5	1	35930718.00	36072500.00	77	Serous_Ovarian_Cancer
AGPAT1	HOMDEL	6.3	6	32168212.00	32178096.00	3	Diffuse_Large B-Cell_Lymphoma
AGPAT4	HOMDEL	6.3	6	161129967.00	161274061.00	3	Uveal Melanoma
AGPAT5	HOMDEL	7.1	8	6708642.00	6761503.00	77	Liver_Hepatocellular_Carcinoma
AGPAT5	HOMDEL	6.1	8	6708642.00	6761503.00	77	Serous_Ovarian_Cancer
AGRN	HOMDEL	8.3	1	1020120.00	1056118.00	77	Diffuse_Large B-Cell_Lymphoma
AGRN	HOMDEL	7.5	1	1020120.00	1056118.00	77	Uveal Melanoma
AGT	AMP	8.7	1	230690776.00	230745576.00	3	Breast_Invasive_Ductal_Carcinoma
AGT	AMP	6.5	1	230690776.00	230745576.00	3	Liver_Hepatocellular_Carcinoma
AGTR1	AMP	7.5	3	148697784.00	148743008.00	77	Cervical_Squamous_Cell_Carcinoma
AGTR1	AMP	10.4	3	148697784.00	148743008.00	77	Esophageal_Adenocarcinoma
AGTR1	AMP	8.7	3	148697784.00	148743008.00	77	Head_and_Neck_Squamous
AGXT	HOMDEL	7.1	2	240868824.00	240880502.00	77	Sarcoma
AGXT2	AMP	6.1	5	34998101.00	35048135.00	3	Cervical_Squamous_Cell_Carcinoma
AGXT2	AMP	7.7	5	34998101.00	35048135.00	3	Esophageal_Adenocarcinoma
AGXT2	AMP	7.8	5	34998101.00	35048135.00	3	Lung
AHCTF1	AMP	9.8	1	246839098.00	246931948.00	3	Breast_Invasive_Ductal_Carcinoma
AHCTF1	HOMDEL	6.3	1	246839098.00	246931948.00	3	Diffuse_Large B-Cell_Lymphoma
AHCTF1	AMP	7.1	1	246839098.00	246931948.00	3	Liver_Hepatocellular_Carcinoma
AHCY	AMP	8.4	20	34280268.00	34311802.00	3	Colorectal_Adenocarcinoma
AHI1	HOMDEL	6.3	6	135283407.00	135498434.00	3	Diffuse_Large B-Cell_Lymphoma
AHI1	HOMDEL	7.5	6	135283407.00	135498434.00	3	Uveal Melanoma
AHI1-DT	HOMDEL	6.3	6	135497422.00	135828703.00	77	Diffuse_Large B-Cell_Lymphoma
AHI1-DT	HOMDEL	7.5	6	135497422.00	135828703.00	77	Uveal Melanoma
AHR	AMP	7.1	7	16916359.00	17346152.00	77	Bladder_Urothelial_Carcinoma
